gene	merged_name	type	start	end	strand	UTR length on 5' end	UTR length on 3' end	UTR length before start	UTR length after end
BSGatlas-gene-197	rplM	CDS	153842	154279	+	118	20	118	20
BSGatlas-gene-1970	dapA	CDS	1748368	1749240	+	30	74	30	74
BSGatlas-gene-1972	rnjB	CDS	1749418	1751085	+	42	0	42	0
BSGatlas-gene-1973	tepA	CDS	1751201	1751938	+	41	0	41	0
BSGatlas-gene-1975	spoIIIE	CDS	1752278	1754641	+	86	143	86	143
BSGatlas-gene-1976	ymfC	CDS	1754785	1755510	+	143	0	143	0
BSGatlas-gene-1977	bcbE	CDS	1755649	1756857	+	65	179	65	179
BSGatlas-gene-1978	ymfF	CDS	1757037	1758317	+	179	0	179	0
BSGatlas-gene-198	rpsI	CDS	154300	154692	+	20	0	20	0
BSGatlas-gene-1981	ymfJ	CDS	1760464	1760721	+	48	0	48	0
BSGatlas-gene-1982	ymfKn	putative-coding	1760851	1761303	+	55	0	55	0
BSGatlas-gene-1983	ymfKc	putative-coding	1761302	1761640	+	0	66	0	66
BSGatlas-gene-1984	rodZ	CDS	1761707	1762573	+	66	0	66	0
BSGatlas-gene-1985	pgsA	CDS	1762623	1763204	+	49	0	49	0
BSGatlas-gene-1987	recA	CDS	1764645	1765691	+	32	65	32	65
BSGatlas-gene-1988	pbpX	CDS	1765859	1767034	+	45	133	45	133
BSGatlas-gene-1989	rny	CDS	1767310	1768872	+	175	68	175	68
BSGatlas-gene-199	ybaJ	CDS	155156	155923	+	319	0	319	0
BSGatlas-gene-1990	pdeB	CDS	1768941	1769735	+	68	0	68	0
BSGatlas-gene-1991	spoVS	CDS	1769935	1770195	+	405	63	405	63
BSGatlas-gene-1992	tdh	CDS	1770461	1771504	+	50	0	50	0
BSGatlas-gene-1994	miaB	CDS	1772843	1774372	+	57	0	57	0
BSGatlas-gene-1996	cotE	CDS	1775067	1775612	+	95	51	95	51
BSGatlas-gene-1997	mutS	CDS	1775745	1778321	+	54	0	54	0
BSGatlas-gene-1998	mutL	CDS	1778337	1780220	+	0	59	0	59
BSGatlas-gene-20	dacA	CDS	17534	18865	+	82	196	82	196
BSGatlas-gene-200	ybaK	CDS	156109	156552	+	21	59	21	59
BSGatlas-gene-2001	ymzD	CDS	1780618	1781073	-	93	0	0	93
BSGatlas-gene-2002	ymcC	CDS	1781228	1781785	-	121	0	0	121
BSGatlas-gene-2004	pksB	CDS	1782713	1783390	+	71	109	71	109
BSGatlas-gene-2006	pksC	CDS	1783763	1784629	+	104	503	104	503
BSGatlas-gene-2007	pksD	CDS	1785133	1786107	+	503	0	503	0
BSGatlas-gene-2008	pksE	CDS	1786104	1788407	+	0	61	0	61
BSGatlas-gene-2009	acpK	CDS	1788469	1788717	+	61	0	61	0
BSGatlas-gene-201	cwlD	CDS	156612	157325	+	59	23	59	23
BSGatlas-gene-2012	pksH	CDS	1791193	1791972	+	0	39	0	39
BSGatlas-gene-2013	pksI	CDS	1792012	1792761	+	39	44	39	44
BSGatlas-gene-2014	pksJ	CDS	1792806	1807937	+	44	0	44	0
BSGatlas-gene-2016	pksM	CDS	1821553	1834341	+	0	67	0	67
BSGatlas-gene-2017	pksN	CDS	1834409	1850875	+	67	0	67	0
BSGatlas-gene-2019	pksS	CDS	1858566	1859783	-	100	0	0	100
BSGatlas-gene-202	salA	CDS	157421	158479	+	52	0	52	0
BSGatlas-gene-2020	ymzB	CDS	1860014	1860370	-	78	29	29	78
BSGatlas-gene-2021	ymaE	CDS	1860449	1861273	-	39	78	78	39
BSGatlas-gene-2022	aprX	CDS	1861384	1862712	-	184	59	59	184
BSGatlas-gene-2023	ymzEn	putative-coding	1862937	1862993	+	40	0	40	0
BSGatlas-gene-2025	pghC	CDS	1863448	1864155	+	65	69	65	69
BSGatlas-gene-2026	ymaD	CDS	1864225	1864677	+	69	0	69	0
BSGatlas-gene-2027	ebrB	CDS	1864691	1865044	-	0	1775	1775	0
BSGatlas-gene-2028	ebrA	CDS	1865058	1865375	-	53	0	0	53
BSGatlas-gene-2029	ymaG	CDS	1865512	1865787	-	1664	43	43	1664
BSGatlas-gene-203	gerD	CDS	158515	159072	-	29	499	499	29
BSGatlas-gene-2030	ymaF	CDS	1865876	1866289	+	53	99	53	99
BSGatlas-gene-2031	miaA	CDS	1866389	1867333	+	99	39	99	39
BSGatlas-gene-2032	hfq	CDS	1867373	1867594	+	40	23	40	23
BSGatlas-gene-2034	ymzA	CDS	1868144	1868374	+	44	57	44	57
BSGatlas-gene-2036	nrdI	CDS	1868617	1869009	+	155	0	155	0
BSGatlas-gene-2037	nrdE	CDS	1868969	1871071	+	0	17	0	17
BSGatlas-gene-2038	nrdF	CDS	1871089	1872078	+	17	49	17	49
BSGatlas-gene-2039	ymaB	CDS	1872128	1872748	+	49	48	49	48
BSGatlas-gene-2042	spoVK	CDS	1874203	1875171	+	450	40	450	40
BSGatlas-gene-2043	hflX	CDS	1875304	1876566	+	55	17	55	17
BSGatlas-gene-2044	ynbB	CDS	1876584	1877849	+	17	109	17	109
BSGatlas-gene-2045	glnR	CDS	1877959	1878366	+	109	58	109	58
BSGatlas-gene-2046	glnA	CDS	1878425	1879759	+	58	51	58	51
BSGatlas-gene-2047	ynxB	CDS	1880087	1880377	+	45	38	45	38
BSGatlas-gene-205	pdaB	CDS	159779	160543	-	39	664	664	39
BSGatlas-gene-2050	ynaB	CDS	1881536	1881970	+	131	69	131	69
BSGatlas-gene-2051	ynaC	CDS	1882040	1882831	+	69	85	69	85
BSGatlas-gene-2052	ynaD	CDS	1883166	1883678	+	32	0	32	0
BSGatlas-gene-2053	ynaE	CDS	1884238	1884879	+	114	0	114	0
BSGatlas-gene-2058	xynP	CDS	1887352	1888743	+	322	30	322	30
BSGatlas-gene-2059	xynB	CDS	1888774	1890375	+	30	54	30	54
BSGatlas-gene-2061	xylR	CDS	1890512	1891666	-	78	53	53	78
BSGatlas-gene-2062	xylA	CDS	1891908	1893245	+	172	150	172	150
BSGatlas-gene-2063	xylB	CDS	1893396	1894895	+	150	342	150	342
BSGatlas-gene-2064	yncB	CDS	1895378	1896013	-	47	0	0	47
BSGatlas-gene-2065	yncC	CDS	1896424	1897839	+	200	0	200	0
BSGatlas-gene-2066	alrB	CDS	1897941	1899125	-	85	58	58	85
BSGatlas-gene-2067	yncE	CDS	1899589	1900050	+	43	0	43	0
BSGatlas-gene-2071	cotU	CDS	1901117	1901377	-	886	23	23	886
BSGatlas-gene-2075	thyA	CDS	1902219	1903058	+	52	0	52	0
BSGatlas-gene-2078	yncM	CDS	1903511	1904233	-	34	18	18	34
BSGatlas-gene-2079	ynzK	CDS	1904393	1904749	-	42	0	0	42
BSGatlas-gene-2080	cotC	CDS	1904995	1905195	-	27	66	66	27
BSGatlas-gene-2081	tatAC	CDS	1905370	1905558	-	48	0	0	48
BSGatlas-gene-2084	flvS	CDS	1906272	1906706	-	1101	0	0	1101
BSGatlas-gene-2085	ynzB	CDS	1907013	1907201	+	805	68	805	68
BSGatlas-gene-2086	yndD	CDS	1907494	1909056	+	144	29	144	29
BSGatlas-gene-2087	yndE	CDS	1909086	1910177	+	29	0	29	0
BSGatlas-gene-2088	yndF	CDS	1910167	1911381	+	0	51	0	51
BSGatlas-gene-2089	yndG	CDS	1911528	1912334	+	37	0	37	0
BSGatlas-gene-2092	yndJ	CDS	1912953	1914593	+	0	36	0	36
BSGatlas-gene-2093	yndK	CDS	1914630	1914995	+	36	0	36	0
BSGatlas-gene-2095	pghL	CDS	1915221	1915979	+	98	49	98	49
BSGatlas-gene-2097	fosB	CDS	1916663	1917097	+	28	0	28	0
BSGatlas-gene-21	pdxS	CDS	19062	19946	+	196	21	196	21
BSGatlas-gene-2100	lexA	CDS	1917639	1918256	-	1827	71	71	1827
BSGatlas-gene-2101	dinK	CDS	1918406	1918723	+	52	18	52	18
BSGatlas-gene-2102	dinL	CDS	1918742	1919395	+	18	63	18	63
BSGatlas-gene-2103	ynzC	CDS	1919459	1919692	+	63	48	63	48
BSGatlas-gene-2104	tktA	CDS	1919861	1921864	+	32	48	32	48
BSGatlas-gene-2106	pcfA	CDS	1922017	1922463	+	54	85	54	85
BSGatlas-gene-2107	yneF	CDS	1922549	1922767	+	85	75	85	75
BSGatlas-gene-2108	spo0D	CDS	1922841	1923014	-	113	43	43	113
BSGatlas-gene-2109	ccdA	CDS	1923234	1923941	+	105	88	105	88
BSGatlas-gene-2110	yneI	CDS	1924030	1924392	+	88	78	88	78
BSGatlas-gene-2111	yneJ	CDS	1924471	1924962	+	78	42	78	42
BSGatlas-gene-2112	yneK	CDS	1924993	1925421	-	118	42	42	118
BSGatlas-gene-2115	sspP	CDS	1926128	1926274	-	31	38	38	31
BSGatlas-gene-2116	sspO	CDS	1926306	1926452	-	253	31	31	253
BSGatlas-gene-2117	citB	CDS	1926680	1929409	+	766	71	766	71
BSGatlas-gene-2118	yneN	CDS	1929481	1929993	+	71	22	71	22
BSGatlas-gene-2119	ynzL	CDS	1930074	1930199	+	37	0	37	0
BSGatlas-gene-2120	sspN	CDS	1930264	1930410	+	16	36	16	36
BSGatlas-gene-2121	sspT	CDS	1930447	1930698	+	36	34	36	34
BSGatlas-gene-2122	yneP	CDS	1930834	1931199	+	93	0	93	0
BSGatlas-gene-2124	yneR	CDS	1931545	1931832	-	87	1476	1476	87
BSGatlas-gene-2125	plsY	CDS	1931920	1932501	-	44	87	87	44
BSGatlas-gene-2126	yneT	CDS	1932671	1933078	+	170	19	170	19
BSGatlas-gene-2128	parE	CDS	1933477	1935444	+	316	0	316	0
BSGatlas-gene-2129	parC	CDS	1935448	1937868	+	0	46	0	46
BSGatlas-gene-2131	ynfCn	CDS	1938066	1938476	-	101	0	0	101
BSGatlas-gene-2132	alsT	CDS	1938925	1940322	+	79	58	79	58
BSGatlas-gene-2134	eglS	CDS	1940625	1942124	+	54	54	54	54
BSGatlas-gene-2136	xynC	CDS	1942714	1943982	-	130	23	23	130
BSGatlas-gene-2137	xynD	CDS	1944113	1945654	-	324	130	130	324
BSGatlas-gene-2138	yngA	CDS	1946249	1946695	+	20	0	20	0
BSGatlas-gene-2139	yngB	CDS	1946702	1947595	+	0	72	0	72
BSGatlas-gene-2140	yngC	CDS	1947668	1948264	+	449	0	449	0
BSGatlas-gene-2141	nrnB	CDS	1948313	1949512	-	73	0	0	73
BSGatlas-gene-2142	ldeE	CDS	1949682	1951217	-	0	50	50	0
BSGatlas-gene-2143	ldeF	CDS	1951228	1952010	-	20	0	0	20
BSGatlas-gene-2144	ldeG	CDS	1952031	1952930	-	0	20	20	0
BSGatlas-gene-2147	ldeI	CDS	1954525	1956174	-	43	0	0	43
BSGatlas-gene-2148	ldeJ	CDS	1956218	1957360	-	24	43	43	24
BSGatlas-gene-2151	yngK	CDS	1958027	1959559	-	39	46	46	39
BSGatlas-gene-2152	yngL	CDS	1959695	1960087	-	36	0	0	36
BSGatlas-gene-2154	ppsD	CDS	1964045	1974856	-	24	0	0	24
BSGatlas-gene-2155	ppsC	CDS	1974881	1982548	-	16	24	24	16
BSGatlas-gene-2156	ppsB	CDS	1982565	1990247	-	24	16	16	24
BSGatlas-gene-2157	ppsA	CDS	1990272	1997957	-	110	24	24	110
BSGatlas-gene-2158	dacC	CDS	1998340	1999815	-	33	49	49	33
BSGatlas-gene-2159	galM	CDS	1999849	2000826	-	42	33	33	42
BSGatlas-gene-2160	yoeA	CDS	2000960	2002351	-	106	0	0	106
BSGatlas-gene-2161	iseA	CDS	2002637	2003182	+	466	0	466	0
BSGatlas-gene-2163	yoeC	CDS	2003401	2003946	-	55	50	50	55
BSGatlas-gene-2164	yoeD	CDS	2004262	2004492	-	103	0	0	103
BSGatlas-gene-2165	ggt	CDS	2004677	2006440	+	46	0	46	0
BSGatlas-gene-2166	ftsR	CDS	2006541	2007398	-	67	54	54	67
BSGatlas-gene-2168	gltB	CDS	2008572	2010053	-	16	1024	1024	16
BSGatlas-gene-2169	gltA	CDS	2010070	2014632	-	57	16	16	57
BSGatlas-gene-2170	gltC	CDS	2014779	2015681	+	1627	53	1627	53
BSGatlas-gene-2172	proH	CDS	2016845	2017738	-	72	0	0	72
BSGatlas-gene-2173	rtp	CDS	2017886	2018254	-	180	0	0	180
BSGatlas-gene-2174	yoxD	CDS	2018554	2019270	-	48	0	0	48
BSGatlas-gene-2175	yoxC	CDS	2019421	2019726	+	26	70	26	70
BSGatlas-gene-2176	yoxB	CDS	2019797	2020567	+	70	43	70	43
BSGatlas-gene-2177	yoaA	CDS	2020611	2021144	+	44	861	44	861
BSGatlas-gene-2178	yoaB	CDS	2021223	2022467	-	93	0	0	93
BSGatlas-gene-2179	yoaC	CDS	2022561	2024024	-	17	93	93	17
BSGatlas-gene-2180	yoaD	CDS	2024042	2025076	-	216	17	17	216
BSGatlas-gene-2182	yoaE	CDS	2025400	2027442	+	43	66	43	66
BSGatlas-gene-2183	yoaF	CDS	2027509	2027802	+	66	60	66	60
BSGatlas-gene-2184	yoaG	CDS	2028175	2028579	-	97	382	382	97
BSGatlas-gene-2188	yoaH	CDS	2029429	2031114	-	89	65	65	89
BSGatlas-gene-2189	yoaI	CDS	2031439	2032890	+	50	0	50	0
BSGatlas-gene-2190	exlX	CDS	2032927	2033625	-	55	47	47	55
BSGatlas-gene-2193	yoaM	CDS	2036039	2036722	+	28	0	28	0
BSGatlas-gene-2194	yozS	CDS	2037063	2037368	-	103	0	0	103
BSGatlas-gene-2195	oxdD	CDS	2037601	2038779	-	31	119	119	31
BSGatlas-gene-2199	yoaQ	CDS	2040673	2041029	+	20	471	20	471
BSGatlas-gene-2200	yozT	CDS	2040988	2041227	-	102	0	0	102
BSGatlas-gene-2201	yozF	CDS	2041330	2041827	-	100	102	102	100
BSGatlas-gene-2202	yoaR	CDS	2041928	2042839	-	18	100	100	18
BSGatlas-gene-2203	yoaS	CDS	2043186	2043668	+	48	0	48	0
BSGatlas-gene-2204	yozG	CDS	2043678	2043932	+	0	105	0	105
BSGatlas-gene-2205	yoaT	CDS	2044038	2044832	+	105	1096	105	1096
BSGatlas-gene-2207	yoaV	CDS	2045929	2046807	+	1096	0	1096	0
BSGatlas-gene-2208	yoaW	CDS	2046980	2047411	-	268	84	84	268
BSGatlas-gene-2209	yoaZ	CDS	2047675	2048307	-	673	0	0	673
BSGatlas-gene-221	ybaR	CDS	177083	178519	+	158	0	158	0
BSGatlas-gene-2210	penP	CDS	2048533	2049453	+	63	692	63	692
BSGatlas-gene-2213	yobB	CDS	2050689	2050952	+	41	0	41	0
BSGatlas-gene-2214	yppS	CDS	2051329	2053929	-	111	0	0	111
BSGatlas-gene-2216	xynA	CDS	2054599	2055240	-	99	495	495	99
BSGatlas-gene-2217	yozV	CDS	2055868	2056107	-	48	0	0	48
BSGatlas-gene-2218	yobD	CDS	2056278	2056616	+	37	0	37	0
BSGatlas-gene-222	ybaS	CDS	178665	179585	+	68	0	68	0
BSGatlas-gene-2222	yobF	CDS	2058715	2059638	-	33	1107	1107	33
BSGatlas-gene-2226	yozY	CDS	2060817	2061077	+	40	584	40	584
BSGatlas-gene-2227	yozZ	putative-coding	2061855	2061995	+	330	20	330	20
BSGatlas-gene-2228	rapK	CDS	2062150	2063265	+	54	0	54	0
BSGatlas-gene-2229	phrK	CDS	2063262	2063384	+	237	63	237	63
BSGatlas-gene-223	eesA	CDS	179595	180347	-	0	20	20	0
BSGatlas-gene-2230	yobHc	putative-coding	2063510	2064163	-	36	447	447	36
BSGatlas-gene-2231	yobHm	putative-coding	2064200	2064547	-	0	36	36	0
BSGatlas-gene-2232	yozL	CDS	2064540	2064833	-	624	0	0	624
BSGatlas-gene-2233	yozM	CDS	2065042	2065377	+	59	58	59	58
BSGatlas-gene-2234	yobI	CDS	2065424	2069029	-	146	24	24	146
BSGatlas-gene-2236	yoyA	putative-coding	2069262	2069561	-	139	93	93	139
BSGatlas-gene-2239	bsrE	CDS	2069883	2069975	+	0	48	0	48
BSGatlas-gene-2241	yobJ	CDS	2070244	2071086	-	29	0	0	29
BSGatlas-gene-2243	rttL	CDS	2071754	2073556	-	41	0	0	41
BSGatlas-gene-2244	yobM	CDS	2073658	2074215	-	403	0	0	403
BSGatlas-gene-2245	yobN	CDS	2074343	2075779	+	34	426	34	426
BSGatlas-gene-2246	yobO	CDS	2076206	2078626	+	426	0	426	0
BSGatlas-gene-2248	csaA	CDS	2079214	2079546	-	64	700	700	64
BSGatlas-gene-2249	yobQ	CDS	2079611	2080336	-	0	64	64	0
BSGatlas-gene-225	feuB	CDS	181347	182351	-	18	0	0	18
BSGatlas-gene-2250	yobR	CDS	2080351	2081094	-	77	0	0	77
BSGatlas-gene-2251	yobS	CDS	2081172	2081747	-	0	77	77	0
BSGatlas-gene-2252	yobT	CDS	2081753	2082454	-	75	0	0	75
BSGatlas-gene-2253	yobU	CDS	2082531	2083013	-	44	0	0	44
BSGatlas-gene-2254	yobV	CDS	2083067	2084008	-	39	0	0	39
BSGatlas-gene-2255	yobW	CDS	2084214	2084759	+	106	154	106	154
BSGatlas-gene-2256	czrA	CDS	2084786	2085109	-	33	16	16	33
BSGatlas-gene-2257	yocA	CDS	2085303	2085980	+	57	0	57	0
BSGatlas-gene-2258	yozB	CDS	2086070	2086606	-	48	0	0	48
BSGatlas-gene-2259	yocB	CDS	2086743	2087525	-	42	0	0	42
BSGatlas-gene-226	feuA	CDS	182370	183323	-	42	18	18	42
BSGatlas-gene-2260	yocC	CDS	2087696	2088193	+	49	63	49	63
BSGatlas-gene-2261	yocD	CDS	2088257	2089234	+	63	0	63	0
BSGatlas-gene-2262	desE	CDS	2089396	2090454	+	29	53	29	53
BSGatlas-gene-2263	desK	CDS	2090574	2091686	+	49	18	49	18
BSGatlas-gene-2264	desR	CDS	2091705	2092304	+	18	44	18	44
BSGatlas-gene-2267	walL	CDS	2092899	2093762	-	247	59	59	247
BSGatlas-gene-2269	recQ	CDS	2094010	2095785	-	123	247	247	123
BSGatlas-gene-227	btr	CDS	183414	185003	-	54	0	0	54
BSGatlas-gene-2271	azoJ	CDS	2096350	2096976	-	48	236	236	48
BSGatlas-gene-2272	yocK	CDS	2097126	2097617	-	25	40	40	25
BSGatlas-gene-2274	yoyB	CDS	2098102	2098329	+	41	529	41	529
BSGatlas-gene-2275	yocM	CDS	2098316	2098792	-	104	0	0	104
BSGatlas-gene-2276	yozN	CDS	2098859	2099122	+	529	0	529	0
BSGatlas-gene-2278	yozO	CDS	2099446	2099790	-	74	54	54	74
BSGatlas-gene-228	ybbC	CDS	185194	186438	-	0	52	52	0
BSGatlas-gene-2280	yozC	CDS	2100147	2100350	-	680	59	59	680
BSGatlas-gene-2281	dhaS	CDS	2100580	2102067	+	139	0	139	0
BSGatlas-gene-2282	sqhC	CDS	2102168	2104066	+	28	0	28	0
BSGatlas-gene-2284	yocR	CDS	2104934	2106271	-	44	0	0	44
BSGatlas-gene-2285	yocS	CDS	2106490	2107455	+	81	0	81	0
BSGatlas-gene-2286	odhB	CDS	2107505	2108758	-	0	51	51	0
BSGatlas-gene-2287	odhA	CDS	2108774	2111608	-	115	0	0	115
BSGatlas-gene-2289	yojN	CDS	2113764	2114678	-	20	0	0	20
BSGatlas-gene-229	nagZ	CDS	186452	188380	-	27	0	0	27
BSGatlas-gene-2290	sodC	CDS	2114742	2115332	-	92	0	0	92
BSGatlas-gene-2291	cwlS	CDS	2115425	2116669	-	299	92	92	299
BSGatlas-gene-2292	yojK	CDS	2117051	2118268	-	42	0	0	42
BSGatlas-gene-2293	cdaS	CDS	2118504	2119127	-	1912	0	0	1912
BSGatlas-gene-2294	mdtK	CDS	2119393	2120751	+	228	0	228	0
BSGatlas-gene-2296	bshBB	CDS	2121641	2122306	-	18	54	54	18
BSGatlas-gene-2297	yojF	CDS	2122325	2122675	-	0	18	18	0
BSGatlas-gene-2298	yoyC	CDS	2122672	2122950	-	75	0	0	75
BSGatlas-gene-2299	yojE	CDS	2123026	2123922	-	26	75	75	26
BSGatlas-gene-23	pdxT	CDS	19968	20558	+	21	51	21	51
BSGatlas-gene-230	amiE	CDS	188408	189733	-	56	27	27	56
BSGatlas-gene-2300	gerT	CDS	2124021	2124494	+	238	29	238	29
BSGatlas-gene-2301	yojB	CDS	2124529	2124765	-	84	0	0	84
BSGatlas-gene-2302	yojA	CDS	2124850	2126184	-	144	84	84	144
BSGatlas-gene-2303	yodA	CDS	2126549	2126938	+	109	33	109	33
BSGatlas-gene-2304	arxR	CDS	2127345	2127683	-	92	0	0	92
BSGatlas-gene-2305	noxC	CDS	2127813	2128421	+	78	0	78	0
BSGatlas-gene-2306	yodD	CDS	2128464	2129066	-	0	32	32	0
BSGatlas-gene-2307	yodE	CDS	2129082	2129993	-	1124	0	0	1124
BSGatlas-gene-2308	yoyD	CDS	2130177	2130377	+	44	0	44	0
BSGatlas-gene-2309	yodF	CDS	2130377	2131867	+	0	44	0	44
BSGatlas-gene-231	murP	CDS	189790	191157	-	25	56	56	25
BSGatlas-gene-2310	ctpA	CDS	2131902	2133302	-	41	0	0	41
BSGatlas-gene-2311	yodH	CDS	2133455	2134156	+	348	87	348	87
BSGatlas-gene-2312	yodI	CDS	2134244	2134495	+	87	78	87	78
BSGatlas-gene-2313	ldcB	CDS	2134566	2135387	-	82	0	0	82
BSGatlas-gene-2314	deoD	CDS	2135470	2136171	-	91	82	82	91
BSGatlas-gene-2315	yoyE	CDS	2136373	2136498	+	17	21	17	21
BSGatlas-gene-2316	yodL	CDS	2136538	2136852	-	29	0	0	29
BSGatlas-gene-2317	pgpB	CDS	2136913	2137524	-	94	0	0	94
BSGatlas-gene-2318	yozD	CDS	2137602	2137778	-	258	19	19	258
BSGatlas-gene-2319	yoyF	CDS	2137897	2138040	+	40	1046	40	1046
BSGatlas-gene-232	murR	CDS	191183	192034	-	16	25	25	16
BSGatlas-gene-2320	yodN	CDS	2138037	2138717	-	34	258	258	34
BSGatlas-gene-2321	yozE	CDS	2138868	2139092	-	86	0	0	86
BSGatlas-gene-2322	yokU	CDS	2139179	2139457	-	0	86	86	0
BSGatlas-gene-2323	kamA	CDS	2139454	2140869	-	28	0	0	28
BSGatlas-gene-2324	kamB	CDS	2140898	2141725	-	0	28	28	0
BSGatlas-gene-2328	yodT	CDS	2144356	2145690	-	36	0	0	36
BSGatlas-gene-233	murQ	CDS	192051	192965	-	45	16	16	45
BSGatlas-gene-2331	yoyG	CDS	2145820	2145933	-	35	57	57	35
BSGatlas-gene-2332	cgeE	CDS	2146013	2146792	-	28	0	0	28
BSGatlas-gene-2333	cgeD	CDS	2146821	2148101	-	64	28	28	64
BSGatlas-gene-2334	cgeC	CDS	2148166	2148471	-	181	64	64	181
BSGatlas-gene-2335	cgeA	CDS	2148676	2149077	+	31	0	31	0
BSGatlas-gene-2336	cgeB	CDS	2149084	2150037	+	0	40	0	40
BSGatlas-gene-2337	phyC	CDS	2150108	2151256	-	36	41	41	36
BSGatlas-gene-2338	spsMn	putative-coding	2151626	2152045	+	328	0	328	0
BSGatlas-gene-2339	sprB	CDS	2152086	2152262	-	38	0	0	38
BSGatlas-gene-2340	yotM	CDS	2152265	2152852	-	318	0	0	318
BSGatlas-gene-2341	yotL	CDS	2152927	2153169	+	38	583	38	583
BSGatlas-gene-2342	yotK	CDS	2153171	2153356	-	83	318	318	83
BSGatlas-gene-2343	yotJ	CDS	2153440	2153652	-	65	83	83	65
BSGatlas-gene-2344	yotI	CDS	2153718	2154080	-	0	65	65	0
BSGatlas-gene-2347	yotF	CDS	2154596	2154673	-	31	0	0	31
BSGatlas-gene-2348	yotE	CDS	2154705	2154851	-	35	31	31	35
BSGatlas-gene-235	ybbK	CDS	193570	194025	-	48	0	0	48
BSGatlas-gene-2350	yotD	CDS	2154887	2155018	-	39	35	35	39
BSGatlas-gene-2351	yotC	CDS	2155058	2155249	-	43	39	39	43
BSGatlas-gene-2352	yotB	CDS	2155293	2156120	-	636	43	43	636
BSGatlas-gene-2353	sspC	CDS	2156239	2156457	+	41	1689	41	1689
BSGatlas-gene-2354	yosX	CDS	2156757	2157110	-	122	636	636	122
BSGatlas-gene-2358	yosU	CDS	2158439	2158684	+	32	219	32	219
BSGatlas-gene-2359	yosT	CDS	2158724	2159173	-	28	0	0	28
BSGatlas-gene-2362	nrdFB	CDS	2159981	2161778	-	22	0	0	22
BSGatlas-gene-2381	yosA	CDS	2169807	2169926	+	35	56	35	56
BSGatlas-gene-2386	yorV	CDS	2171139	2171357	-	395	0	0	395
BSGatlas-gene-2394	yorN	CDS	2174585	2174734	-	59	0	0	59
BSGatlas-gene-2404	yorD	CDS	2186985	2187299	-	38	76	76	38
BSGatlas-gene-2405	yorC	CDS	2187376	2187756	-	62	0	0	62
BSGatlas-gene-2406	yorB	CDS	2187819	2188115	-	51	62	62	51
BSGatlas-gene-2407	yorA	CDS	2188204	2189964	-	325	0	0	325
BSGatlas-gene-241	sigW	CDS	194849	195412	+	62	0	62	0
BSGatlas-gene-2411	yoqW	CDS	2191626	2192300	+	966	0	966	0
BSGatlas-gene-2418	yoqO	CDS	2195173	2195547	+	39	0	39	0
BSGatlas-gene-242	rsiW	CDS	195426	196052	+	0	37	0	37
BSGatlas-gene-2420	yoqM	CDS	2195986	2196264	+	47	0	47	0
BSGatlas-gene-243	cdaA	CDS	196213	197034	+	82	0	82	0
BSGatlas-gene-2439	yopT	CDS	2203378	2203596	-	455	0	0	455
BSGatlas-gene-244	cdaR	CDS	197027	198478	+	0	18	0	18
BSGatlas-gene-2440	yopS	CDS	2203779	2204003	+	49	0	49	0
BSGatlas-gene-2441	yopR	CDS	2204192	2205169	-	23	0	0	23
BSGatlas-gene-2442	yopQ	CDS	2205193	2206575	-	106	23	23	106
BSGatlas-gene-2443	yopP	CDS	2206682	2207758	-	0	106	106	0
BSGatlas-gene-2444	yopO	CDS	2207748	2207960	-	47	0	0	47
BSGatlas-gene-2445	yopN	CDS	2208008	2208325	-	0	47	47	0
BSGatlas-gene-2446	yopM	CDS	2208328	2208528	-	54	0	0	54
BSGatlas-gene-2449	aimP	CDS	2208855	2208980	-	23	54	54	23
BSGatlas-gene-245	glmM	CDS	198497	199843	+	18	172	18	172
BSGatlas-gene-2450	aimR	CDS	2208994	2210154	-	49	0	0	49
BSGatlas-gene-2456	yopE	CDS	2212245	2212496	-	24	0	0	24
BSGatlas-gene-2457	yoyH	CDS	2212567	2212746	+	37	0	37	0
BSGatlas-gene-2460	yopC	CDS	2213536	2214864	-	98	0	0	98
BSGatlas-gene-2462	yopA	CDS	2215460	2216776	-	38	172	172	38
BSGatlas-gene-2463	yonX	CDS	2217133	2217639	-	51	0	0	51
BSGatlas-gene-2464	yonV	CDS	2217967	2219199	-	81	0	0	81
BSGatlas-gene-2465	yonU	CDS	2219281	2219469	-	44	81	81	44
BSGatlas-gene-2466	yoyJ	CDS	2219514	2219765	-	18	44	44	18
BSGatlas-gene-2468	spbT	CDS	2219784	2219960	-	40	18	18	40
BSGatlas-gene-2469	yonS	CDS	2220335	2220946	-	114	0	0	114
BSGatlas-gene-247	glmS	CDS	200277	202079	+	400	0	400	0
BSGatlas-gene-2470	yonR	CDS	2221061	2221387	-	32	114	114	32
BSGatlas-gene-2473	yonP	CDS	2222340	2222534	+	42	39	42	39
BSGatlas-gene-2474	yonO	CDS	2222574	2225093	+	39	243	39	243
BSGatlas-gene-2475	hupN	CDS	2225337	2225615	+	243	194	243	194
BSGatlas-gene-2479	yonJ	CDS	2227505	2228722	+	16	662	16	662
BSGatlas-gene-2480	yonI	CDS	2228756	2229166	-	888	0	0	888
BSGatlas-gene-2481	yonH	CDS	2229385	2229885	+	662	0	662	0
BSGatlas-gene-2482	yonG	CDS	2229988	2230908	+	34	0	34	0
BSGatlas-gene-249	alkA	CDS	202547	203458	-	50	779	779	50
